seed	n_atoms	n_heavy_atoms	n_confs	smiles	mapped_smiles
386403613	42	25	50	CC1Cc2ccc(OC(=O)c3ccc(NC(=N)N)cc3)cc2OC1=O	[H:29][c:11]1[c:13]([c:19]([c:14]([c:12]([c:18]1[C:6](=[O:1])[O:4][c:16]2[c:9]([c:15]([c:20]3[c:17]([c:10]2[H:28])[O:5][C:7](=[O:2])[C:25]([C:24]3([H:40])[H:41])([H:42])[C:23]([H:37])([H:38])[H:39])[H:33])[H:27])[H:30])[H:32])[N:22]([H:36])[C:8](=[N:3][H:26])[N:21]([H:34])[H:35])[H:31]
135336849	5	5	50	S=PSP=S	[P:3](=[S:1])[S:5][P:4]=[S:2]
135113134	4	4	50	Cl[C+](Cl)Cl	[C+:4]([Cl:1])([Cl:2])[Cl:3]
135098645	7	7	50	s1ssssss1	[S:1]1[S:2][S:4][S:6][S:7][S:5][S:3]1
135041958	3	3	50	[N-]=[N+]=[N-]	[N-:1]=[N+:3]=[N-:2]
135120332	5	3	50	OOO	[H:4][O:1][O:3][O:2][H:5]
135232664	10	10	48	O1P2OP3OP1OP(O2)O3	[O:1]1[P:7]2[O:2][P:9]3[O:3][P:8]1[O:5][P:10]([O:4]2)[O:6]3
134982891	13	12	50	Clc1nc(Cl)c2[nH]c(Cl)nc2n1	[H:13][N:12]1[c:11]2[c:10]([n:6][c:8]([n:5][c:9]2[Cl:3])[Cl:2])[N:4]=[C:7]1[Cl:1]
135064751	43	43	50	FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C(F)(F)C1(F)F	[C:39]1([C:41]([C:43]([O:29][C:31]([C:33]1([F:8])[F:9])([F:4])[F:5])([C:42]([C:40]([C:38]([C:37]([C:36]([C:35]([C:34]([C:32]([C:30]([F:1])([F:2])[F:3])([F:6])[F:7])([F:10])[F:11])([F:12])[F:13])([F:14])[F:15])([F:16])[F:17])([F:18])[F:19])([F:22])[F:23])([F:26])[F:27])[F:28])([F:24])[F:25])([F:20])[F:21]
135191896	28	9	50	CC(CP)CC(C)(C)C	[H:12][C:2]([H:13])([H:14])[C:8]([H:28])([C:7]([H:26])([H:27])[C:9]([C:3]([H:15])([H:16])[H:17])([C:4]([H:18])([H:19])[H:20])[C:5]([H:21])([H:22])[H:23])[C:6]([H:24])([H:25])[P:1]([H:10])[H:11]
